Source,Target
Jane & Louise Wilson,1989
Jenine Sharabi,1989
Karin Sander,1989
Leila Pazooki,1989
Mohammed Kamel,1989
mounir fatmi,1989
Nacera Belaza,1989
Rasheed Araeen,1989
Sarah Al Abdali,1989
Simone Fattal,1989
Valia Fetisov,1989
Mouna Karray,1989-1993
Adele Ne Jame,1990
Alfredo Jaar,1990
Ana Torfs,1990
Bae Young-whan,1990
Bijoy Jain,1990
Dimi Mint Abba,1990
Fred Eerdekens,1990
Kazuyo Sejima,1990
Mohammed Kazem,1990
Monika Börgmann,1990
Romeo Castellucci,1990
Shafic Abboud,1990
Shirin Neshat,1990
Thomas Demand,1990
Luc Sante,1990-2005
Lani Maestro,1990 -94
Ahaad Alamoudi,1991
Fouad Elkoury,1991
Jananne Al-Ani,1991
Luc Sante,1991
mounir fatmi,1991
Raeda Ashour,1991
Raqs Media Collective,1991
Thomas Werner,1991
Ziad Abillama,1991
Abbas Kiarostami,1992
Carsten Höller,1992
David Spriggs,1992
Jalal Toufic,1992
Jane & Louise Wilson,1992
Luc Sante,1992
N.S. Harsha,1992
Neda Razavipour,1992
Nouf Alhimiary,1992
Raqs Media Collective,1992
Romeo Castellucci,1992
Shimabuku,1992
Taha Al-Sabban,1992
Thomas Demand,1992
Yazid Oulab,1992
Youssef Nabil,1992
Yusef A. Lateef,1992
Luc Sante,1992-93
Abdullah Al Saadi,1993
Alan Bishop,1993
Basmah Felemban,1993
Derek Ogbourne,1993
Doris Bittar,1993
Eduard Puterbrot,1993
Fateh Moudarres,1993
Hans Haacke,1993
Jalal Toufic,1993
Jane & Louise Wilson,1993
Karim Aïnouz,1993
Marcel Schwierin,1993
Mona Hatoum,1993
Rasheed Araeen,1993
Rashid Masharawi,1993
"SUPERFLEX ",1993
Yusef A. Lateef,1993
Youssef Nabil,1993-1994
Samir Sayegh,1993-2007
Elena Kovylina,1993-95
Abbas Kiarostami,1994
Adel Abdessemed,1994
Alfredo Jaar,1994
"Apichatpong Weerasethakul ",1994
Emily Jacir,1994
Fateh Moudarres,1994
Fred Eerdekens,1994
Liliana Porter,1994
Luz Maria Bedoya,1994
Marcel Schwierin,1994
Mark Lombardi,1994
Mona Hatoum,1994
Rasheed Araeen,1994
Seigen Ono,1994
Shafic Abboud,1994
Sulayman Al Bassam,1994
Susan Hefuna,1994
Thomas Demand,1994
Valeska Soares,1994
Alfredo Jaar,1994-1998
Abdelfattah Kilito,1995
Adrian Paci,1995
Alfredo Jaar,1995
Bijoy Jain,1995
Derek Ogbourne,1995
Fateh Moudarres,1995
Hiroyuki Masuyama,1995
Jawad Al Malhi,1995
Jorge Tacla,1995
Karin Sander,1995
Kazuyo Sejima,1995
Lamia Joreige,1995
Mona Hatoum,1995
N.S. Harsha,1995
Ola Hejazi,1995
Olafur Eliasson,1995
Runa Islam,1995
Samer Omran,1995
Shahzia Sikander,1995
Wang Jianwei,1995
Yang Fudong,1995
Youssef Abdelkė,1995
Doris Bittar,1995-96
Abdelfattah Kilito,1996
Adele Ne Jame,1996
Alberto Duman,1996
Ayreen Anastas,1996
Derek Ogbourne,1996
Jananne Al-Ani,1996
Jane & Louise Wilson,1996
Karim Aïnouz,1996
Khaled Jarrar,1996
Liliana Porter,1996
Liu Wei,1996
Mona Hatoum,1996
Mona Marzouk,1996
Rasheed Araeen,1996
Rashid Masharawi,1996
Ryoji Ikeda,1996
Sulayman Al Bassam,1996
Wissam Shawkat,1996
Yang Shaobin,1996
Noma Omran,1996-7
Elena Kovylina,1996-98
Abbas Kiarostami,1997
Adrian Paci,1997
Akram Zaatari,1997
Alfredo Aquilizan,1997
Alfredo Jaar,1997
Ali Essafi,1997
"Apichatpong Weerasethakul ",1997
Carlos  Amorales,1997
Fouad Elkoury,1997
Hend Al-Mansour,1997
Isabel Aquilizan,1997
Jananne Al-Ani,1997
"Joana Hadjithomas ",1997
Karim Aïnouz,1997
Karin Sander,1997
Kazuyo Sejima,1997
Khaled Hourani,1997
Khalil Joreige,1997
Lani Maestro,1997
Lara Baladi,1997
Lara Favaretto,1997
Latifa Echakhch,1997
Luc Sante,1997
Mark Lombardi,1997
Mona Hatoum,1997
Nida Sinnokrot,1997
Rasheed Araeen,1997
Reza Aramesh,1997
Romeo Castellucci,1997
Shahzia Sikander,1997
Sherin Guirguis,1997
Shilpa Gupta,1997
Teboho Mahlatsi,1997
Walid Raad,1997
Wang Jianwei,1997
Ziad Dalloul,1997
Youssef Nabil,1997-1998
Mouna Karray,1997-2002
Steve Reinke,1997-2005
"Joana Hadjithomas ",1997-2006
Khalil Joreige,1997-2006
Ahmed El Attar,1998
Alfredo Jaar,1998
Ali Essafi,1998
Anri Sala,1998
Ayşe Erkmen,1998
Bita Fayyazi,1998
David Spriggs,1998
Doris Bittar,1998
Jananne Al-Ani,1998
Kazuyo Sejima,1998
Khaled Hourani,1998
Lara Favaretto,1998
Luc Sante,1998
Maider López,1998
Mark Lombardi,1998
Marwan Rechmaoui,1998
mentalKLINIK,1998
Mounir Al-Shaarani,1998
Neda Razavipour,1998
Rasheed Araeen,1998
Romeo Castellucci,1998
Runa Islam,1998
Ryoji Ikeda,1998
Shinichiro Ogata,1998
Susan Hefuna,1998
Tarek Atoui,1998
Thomas Werner,1998
Tintin Wulia,1998
Younès Rahmoun,1998
Elena Kovylina,1998-1999
Abbas Kiarostami,1999
Abdelfattah Kilito,1999
Adrian Paci,1999
Alfredo Aquilizan,1999
Ana Vidigal,1999
"Apichatpong Weerasethakul ",1999
Ayreen Anastas,1999
David Spriggs,1999
Fahd Al-Hijilan,1999
Firoz Mahmud,1999
Gilbert Hage,1999
Guillaume Cassar,1999
Isabel Aquilizan,1999
Jane & Louise Wilson,1999
Jayce Salloum,1999
"Kamarstudios ",1999
Lani Maestro,1999
Lara Favaretto,1999
Latifa Echakhch,1999
Liliana Porter,1999
Luc Sante,1999
Maider López,1999
Mona Hatoum,1999
Muhamad Haider,1999
Nikolaj Bendix,1999
Noha Faoud Al-Ghalib,1999
Pablo Lobato,1999
Rania Stephan,1999
Sahand Hesamiyan,1999
Shadia Alem,1999
Shahzia Sikander,1999
Shiro Takatani,1999
"SUPERFLEX ",1999
Taysir Batniji,1999
Teboho Mahlatsi,1999
Walid Raad,1999
Yang Shaobin,1999
Youssef Nabil,1999
Yuko Hasegawa,1999
Simryn Gill,1999 -2000
Muhamad Haider,1999-2001
Abdullah Al-Mazrook,2000
Ahmed El Attar,2000
Alexander Markov,2000
Alfredo Jaar,2000
Ana Torfs,2000
"Apichatpong Weerasethakul ",2000
"Basim Magdy ",2000
Carsten Höller,2000
Claudia Joskowicz,2000
David Spriggs,2000
Djamel Kokene,2000
Eduard Puterbrot,2000
Gabriel Lester,2000
Hans Haacke,2000
Hend Al-Mansour,2000
Jalal Toufic,2000
Jane & Louise Wilson,2000
Jawad Al Malhi,2000
Jem Cohen,2000
"Joana Hadjithomas ",2000
Karin Sander,2000
Kazuyo Sejima,2000
Khalil Joreige,2000
Lani Maestro,2000
Larissa Sansour,2000
"Lúcia Koch ",2000
Mahmoud Refat,2000
Mariam Ghani,2000
Mark Lombardi,2000
Mona Hatoum,2000
Nevin Aladag,2000
Nida Sinnokrot,2000
Raeda Saadeh,2000
Raffie Davtian,2000
Raqs Media Collective,2000
Rimini Protokoll,2000
Rosalind Nashashibi,2000
Ryoji Ikeda,2000
Safeya Binzagr,2000
Saud Al-Duribi,2000
Seigen Ono,2000
Shadi Ghadirian,2000
Shahzia Sikander,2000
Shimabuku,2000
Shohreh Mehran,2000
Sophie Ernst,2000
Steve Reinke,2000
"SUPERFLEX ",2000
Susan Hefuna,2000
Tiffany Chung,2000
Lili Dujourie,2000-01
Adel Abdessemed,2001
Adel Abidin,2001
Adila Laidi-Hanieh,2001
Adrian Paci,2001
Ahmad Morshedloo,2001
Akram Zaatari,2001
Ali Essafi,2001
Amina Menia,2001
Edgar Endress,2001
Elnaz Farajollahi,2001
Firoz Mahmud,2001
Fouad Elkoury,2001
Giuseppe Moscatello,2001
Heman Chong,2001
Hiroyuki Masuyama,2001
Imran Qureshi,2001
Jayce Salloum,2001
Karin Sander,2001
Lani Maestro,2001
Lara Favaretto,2001
Marwan Rechmaoui,2001
Moataz Nasr,2001
Monika Börgmann,2001
Mouna Karray,2001
