target,source,group,long,lat
Iran,Nargess Hashemi,1,53.68805,32.42791
Iran,Niyaz-Azadikhah,1,53.68805,32.42791
Iran,Houman Mortazavi,1,53.68805,32.42791
Iran,Gita Meh,1,53.68805,32.42791
Iran,Hojat Amani,1,53.68805,32.42791
Iran,Neda Razavipour,1,53.68805,32.42791
Iran,Nicky Nodjoumi,1,53.68805,32.42791
Iran,Farhad Ahrarnia,1,53.68805,32.42791
Iran,Iman Raad,1,53.68805,32.42791
Iran,Shahpour Pouyan,1,53.68805,32.42791
Iran,Mehrdad Mohebali,1,53.68805,32.42791
Iran,Shantia Zakerameli,1,53.68805,32.42791
Iran,Peyman Hooshmandzadeh,1,53.68805,32.42791
Iran,Shadi Ghadirian,1,53.68805,32.42791
Iran,Amirhossein Radaie,1,53.68805,32.42791
Iran,Mostafa Choobtarash,1,53.68805,32.42791
Iran,Shirin Neshat,1,53.68805,32.42791
Iran,Mahmoud Bakhshi,1,53.68805,32.42791
Iran,Ahmad Amin Nazar,1,53.68805,32.42791
Iran,Setareh Shahbazi,1,53.68805,32.42791
Iranian,Darvish Fakhr,3,NA,NA
Iranian,Pouran-Jinchi,3,NA,NA
Iranian,Ala Ebtekar,3,NA,NA
Iranian,Gita Meh,3,NA,NA
Iranian,Shahpour Pouyan,3,NA,NA
Iranian,Sahand Hesamiyan,3,NA,NA
Iranian,Shohreh Mehran,3,NA,NA
Iranian,Asad Faulwell,3,NA,NA
Iranian,Monir Shahroudy Farmanfarmaian,3,NA,NA
Iranian,Shahrzad Changalvaee,3,NA,NA
Iranian,Shirin Neshat,3,NA,NA
Iranian,Nastaran Safaei,3,NA,NA
Iranian,Setareh Shahbazi,3,NA,NA
Iranian,Farhad Moshiri,3,NA,NA
Iranian,Houman Mortazavi,3,NA,NA
Iranian,Leila Fatemi,3,NA,NA
Iranian,Nargess Hashemi,3,NA,NA
Iranian,Hojat Amani,3,NA,NA
Iranian,Farshid Maleki,3,NA,NA
Iranian,Pouya Parsamagham,3,NA,NA
Iranian,Arefeh Riahi,3,NA,NA
Iranian,Shirin Aliabadi,3,NA,NA
Iranian,Iman Raad,3,NA,NA
Iranian,Ahmad Morshedloo,3,NA,NA
Iranian,Rania Attieh,3,NA,NA
Iranian,Pantea Rahmani,3,NA,NA
