source,group,target,lat,long
Akram Zaatari,1,Paris,2.3521334,48.8565056
Akram Zaatari,1,Sao,37.5258470297,55.8336415
Akram Zaatari,1,Sydney,151.2164539,-33.8548157
Ala Ebtekar,1,Berkeley,-122.2728639,37.8708393
Ala Ebtekar,1,CA,-107.9917071,61.0666922
Ala Ebtekar,1,California,-118.7559974,36.7014631
Ala Ebtekar,1,Dubai,55.2961962,25.2683521
Ala Ebtekar,1,Frankfurt,8.6820934,50.1106529
Ala Ebtekar,1,Germany,10.4234469,51.0834196
Ala Ebtekar,1,Iran,52.9471344,32.9407496
Ala Ebtekar,1,London,-0.1276474,51.5073219
Ala Ebtekar,1,Los Angeles,-118.2427266,34.053717
Ala Ebtekar,1,Mahe,55.4823125,-4.6803697
Ala Ebtekar,1,New York,-73.9865812,40.7305991
Ala Ebtekar,1,Richmond,-77.43428,37.5385087
Ala Ebtekar,1,San Francisco,-122.4629897,37.7647993
Ala Ebtekar,1,Santa Barbara,-119.7029107085,34.4004935
Ala Ebtekar,1,Sharjah,55.7954410161,25.21749685
Ala Ebtekar,1,Tehran,51.4214589,35.6865107
Ala Ebtekar,1,UAE,31.2718321,49.4871968
Ala Ebtekar,1,USA,-100.4458825,39.7837304
Alan Bishop,1,Sun City,27.09404,-25.3445071
Alberto Duman,1,Cardiff,-3.1836873,51.4835299
Alberto Duman,1,East London,27.8998573,-33.0191604
Alberto Duman,1,Italy,12.674297,42.6384261
Alberto Duman,1,London,-0.1276474,51.5073219
Alberto Duman,1,Milan,9.1905368,45.466797
Alberto Duman,1,UK,-3.2765753,54.7023545
Alberto Duman,1,Wales,-3.73893,52.2928116
Alexandar Ugay,1,Kazakhstan,65.2093197,47.2286086
Alexandar Ugay,1,Paris,2.3521334,48.8565056
Alexander Markov,1,Petersburg,-77.3905311051,37.2044555
Alexander Markov,1,Potsdam,13.0591397,52.4009309
Alfredo Aquilizan,1,Asia,103.9999998,56.0000002
Alfredo Aquilizan,1,Australia,134.755,-24.7761086
Alfredo Aquilizan,1,Brisbane,153.0234991,-27.4689682
Alfredo Aquilizan,1,Cagayan Valley,122.0068361007,17.1930191
Alfredo Aquilizan,1,Dojima River,135.4971675,34.6946357
Alfredo Aquilizan,1,Italy,12.674297,42.6384261
Alfredo Aquilizan,1,Japan,139.2394179,36.5748441
Alfredo Aquilizan,1,Manila,120.9799696,14.5906216
Alfredo Aquilizan,1,Norwich,1.29227,52.628606
Alfredo Aquilizan,1,Osaka,135.5145684,34.6852955
Alfredo Aquilizan,1,Pacific,-123.768029,46.5334929
Alfredo Aquilizan,1,South Korea,127.937111,35.3985008
Alfredo Aquilizan,1,UK,-3.2765753,54.7023545
Alfredo Jaar,1,Berlin,13.3888599,52.5170365
Alfredo Jaar,1,Chile,-71.3187697,-31.7613365
Alfredo Jaar,1,Johannesburg,28.0497222,-26.205
Alfredo Jaar,1,Kigali,30.0615075,-1.9508511
Alfredo Jaar,1,Kwangju,126.851386,35.1602837
Alfredo Jaar,1,New York,-73.9865812,40.7305991
Alfredo Jaar,1,Rwanda,30.0644358,-1.9646631
Alfredo Jaar,1,Santiago,-70.6504558,-33.437913
Alfredo Jaar,1,Sydney,151.2164539,-33.8548157
Alfredo Jaar,1,São Paulo,-49.0232348,-21.9549806
Alfredo Jaar,1,Venice,12.3345899,45.4371908
Ali Al-Ruzaiza,1,Najd,44.5,25
Ali Al-Ruzaiza,1,Riyadh,46.7150648,24.6319692
Ali Al-Ruzaiza,1,Rome,12.4830718,41.8933439
Ali Al-Tokhais,1,Middle East,34.9773963,32.1862164
Ali Al-Tokhais,1,Najd,44.5,25
Ali Al-Tokhais,1,Rock,-96.2574328,43.6733632
Ali Essafi,1,Brazil,-53.2,-10.3333333
Ali Essafi,1,France,1.8883335,46.603354
Ali Essafi,1,Morocco,-7.3366043,31.1728192
Ali Essafi,1,Namur,4.8661892,50.4665284
Ali Essafi,1,Ouarzazate,-6.9018046,30.9206166
Ali Jabri,1,Aleppo,37.1656697,36.197971
Ali Jabri,1,Amman,36.321853777,31.6586023
Ali Jabri,1,Cairo,31.2436663,30.0488185
Ali Jabri,1,California,-118.7559974,36.7014631
Ali Jabri,1,England,-0.5402402366,52.7954791
Ali Jabri,1,Jerusalem,35.213768955,31.79681325
Almagul Menlibayeva,1,Antwerp,4.3997081,51.2211097
Almagul Menlibayeva,1,Belgium,4.66696,50.6407351
Almagul Menlibayeva,1,Berlin,13.3888599,52.5170365
Almagul Menlibayeva,1,Chile,-71.3187697,-31.7613365
Almagul Menlibayeva,1,Ithaca,-76.4968019,42.4396039
Almagul Menlibayeva,1,Kazakhstan,65.2093197,47.2286086
Almagul Menlibayeva,1,Mexico City,-99.1332102,19.4325301
Almagul Menlibayeva,1,New York,-73.9865812,40.7305991
Almagul Menlibayeva,1,Oslo,10.7391112,59.9132694
Almagul Menlibayeva,1,Rotterdam,4.4886232693,51.92779805
Almagul Menlibayeva,1,San Diego,-117.1627714,32.7174209
Almagul Menlibayeva,1,Venice,12.3345899,45.4371908
Amar Kanwar,1,Amsterdam,4.8979956034,52.374436
Amar Kanwar,1,Berlin,13.3888599,52.5170365
Amar Kanwar,1,Germany,10.4234469,51.0834196
Amar Kanwar,1,Highway,5.2357453,50.5215385
Amar Kanwar,1,India,78.6677428,22.3511148
Amar Kanwar,1,London,-0.1276474,51.5073219
Amar Kanwar,1,Munich,11.5754815,48.1372719
Amar Kanwar,1,New Delhi,77.2159562,28.6138967
Amar Kanwar,1,Norway,9.0999715,60.5000209
Amar Kanwar,1,Switzerland,8.2319736,46.7985624
Amar Kanwar,1,the Netherlands,5.5346073816,52.2379891
Amar Kanwar,1,UK,-3.2765753,54.7023545
Amar Kanwar,1,Whitechapel,-2.6712365,53.8662261
Amina Menia,1,Algiers,2.9999825,28.0000272
Amina Menia,1,Dublin,-6.2600969,53.3494299
Amina Menia,1,Ireland,-7.9794599,52.865196
Amina Menia,1,Manchester,-2.2447445,53.4791466
Amina Menia,1,Spain,-4.003104,40.0028028
Amina Menia,1,Tunis,9.400138,33.8439408
Amina Menia,1,Tunisia,9.400138,33.8439408
Amina Menia,1,UK,-3.2765753,54.7023545
Amino Belyamani,1,Casablanca,-7.6176293,33.5939157
Amino Belyamani,1,France,1.8883335,46.603354
Amino Belyamani,1,Ghana,-1.0800271,8.0300284
Amino Belyamani,1,Heath,-3.1870909,51.5163371
Amino Belyamani,1,New York,-73.9865812,40.7305991
Amir H. Fallah,1,Baltimore,-76.6108073,39.2908608
Amir H. Fallah,1,California,-118.7559974,36.7014631
Amir H. Fallah,1,Charleston,-79.9402728,32.7876012
Amir H. Fallah,1,Iran,52.9471344,32.9407496
Amir H. Fallah,1,Los Angeles,-118.2427266,34.053717
Amir H. Fallah,1,Mexico,-100.0000375,22.5000485
Amir H. Fallah,1,Tehran,51.4214589,35.6865107
Amir H. Fallah,1,US,-100.4458825,39.7837304
Amir H. Fallah,1,USA,-100.4458825,39.7837304
Amirhossein Radaie,1,Hamadan,48.5109696,34.7987689
Amirhossein Radaie,1,Iran,52.9471344,32.9407496
Ammar Al Attar,1,Ajman,55.3619072487,25.5091287
Ammar Al Attar,1,Dubai,55.2961962,25.2683521
Ammar Al Attar,1,Greece,21.9999569,39.000041
Ammar Al Attar,1,London,-0.1276474,51.5073219
Ammar Al Attar,1,UAE,31.2718321,49.4871968
Ammar Al Attar,1,UK,-3.2765753,54.7023545
Ammar Al Attar,1,United Arab Emirates,53.9994829,24.0002488
Ammar Bouras,1,Algiers,2.9999825,28.0000272
Ammar Bouras,1,Field,-116.4889591,51.3965941
Ana Torfs,1,Austria,13.199959,47.2000338
Ana Torfs,1,Belgium,4.66696,50.6407351
Ana Torfs,1,Berlin,13.3888599,52.5170365
Ana Torfs,1,Bremen,8.80717,53.0758099
Ana Torfs,1,Brussels,4.3672016945,50.84404145
Ana Torfs,1,Düsseldorf,6.7737511,51.2251964
Ana Torfs,1,Germany,10.4234469,51.0834196
Ana Torfs,1,New York,-73.9865812,40.7305991
Ana Torfs,1,Vienna,16.3725042,48.2083537
Ana Vidigal,1,Brazil,-53.2,-10.3333333
Ana Vidigal,1,Lisboa,-9.1380056,38.7130574
Ana Vidigal,1,Lisbon,-9.1380056,38.7130574
Ana Vidigal,1,Portugal,-7.8896263,40.033265
Ana Vidigal,1,Superior,-105.1685977,39.9527634
