target,source,group,lat,long
Belgium,Khaled Jarrar,1,4.469936,50.50389
Belgium,Mohamed El Mahdaoui,1,4.469936,50.50389
Belgium,Melik Ohanian,1,4.469936,50.50389
Belgium,Mohamed Bourouissa,1,4.469936,50.50389
Belgium,Daoud Corm,1,4.469936,50.50389
Belgrade,Robert MacPherson,1,20.44892,44.78657
Belgrade,Ismail al-Shaikhly,1,20.44892,44.78657
Belgrade,Halil Altindere,1,20.44892,44.78657
Belgrade,Derek Ogbourne,1,20.44892,44.78657
Belvedere,Susan Hefu,1,-81.94484,33.53097
Benin,Isma├»l Bahri,1,2.315834,9.30769
Bergamo,Latifa Echakhch,1,9.67727,45.69826
Bergamo,Jalal Toufic,1,9.67727,45.69826
Bergen,Rosalind shashibi,1,5.322054,60.39126
Berkeley,Eungie Joo,1,-122.2727,37.87159
Berkeley,Ala Ebtekar,1,-122.2727,37.87159
Berkeley,Shirin Neshat,1,-122.2727,37.87159
Berlin,Gilbert Hage,1,13.40495,52.52001
Berlin,Samira Badran,1,13.40495,52.52001
Berlin,Almagul Menlibayeva,1,13.40495,52.52001
Berlin,Susan Hefu,1,13.40495,52.52001
Berlin,Ayreen Astas,1,13.40495,52.52001
Berlin,Ahmad Kosh,1,13.40495,52.52001
Berlin,Rabih Mrou├⌐,1,13.40495,52.52001
Berlin,Jalal Toufic,1,13.40495,52.52001
Berlin,Doa Aly,1,13.40495,52.52001
Berlin,Halil Altindere,1,13.40495,52.52001
Berlin,Sophie Ernst,1,13.40495,52.52001
Berlin,Sharif Waked,1,13.40495,52.52001
Berlin,Iman Issa,1,13.40495,52.52001
Berlin,Ashkan Sepahvand,1,13.40495,52.52001
Berlin,Wael Shawky,1,13.40495,52.52001
Berlin,Lawrence Abu Hamdan ,1,13.40495,52.52001
Berlin,Robert MacPherson,1,13.40495,52.52001
Berlin,Sa├ódane Afif,1,13.40495,52.52001
Berlin,Abdulsser Gharem,1,13.40495,52.52001
Berlin,Burak Arikan,1,13.40495,52.52001
Berlin,Walid Raad,1,13.40495,52.52001
Berlin,Firoz Mahmud,1,13.40495,52.52001
Berlin,Meri├º Alg├╝n Ringborg ,1,13.40495,52.52001
Berlin,Melik Ohanian,1,13.40495,52.52001
Berlin,Raeda Saadeh,1,13.40495,52.52001
Berlin,Khalid al-Jader,1,13.40495,52.52001
Berlin,Hani Alireza ,1,13.40495,52.52001
Berlin,Eva Meyer-Keller,1,13.40495,52.52001
Berlin,Ay┼ƒe Erkmen,1,13.40495,52.52001
Berlin,Mal Al Dowayan,1,13.40495,52.52001
Berlin,Raed Yassin,1,13.40495,52.52001
Berlin,Basim Magdy ,1,13.40495,52.52001
