source,edgetype,target
Adrian Paci,Person,Paci
Adrian Paci,Date,2001
Adrian Paci,Date,2002
Adrian Paci,Date,1999
Adrian Paci,Person,Paci
Adrian Paci,Origin,Albanian
Adrian Paci,Organization,Venice Biennale
Adrian Paci,Date,2004
Adrian Paci,Location,New York
Adrian Paci,Organization,MoMA PS1
Adrian Paci,Location,New York
Adrian Paci,Organization,Moderna Museet
Adrian Paci,Location,Stockholm
Adrian Paci,Organization,Venice Biennale
Adrian Paci,Date,2009
Adrian Paci,Organization,Museum Folkwang
Adrian Paci,Location,Essen
Adrian Paci,Location,Germany
Adrian Paci,Date,2003
Adrian Paci,Organization,Accademia Carrara di Belle Arti
Adrian Paci,Location,Bergamo
Adrian Paci,Organization,IUAV
Adrian Paci,Location,Venice
Adrian Paci,Person,Paci
Adrian Paci,Location,Milan
Agnes Janich,Person,Agnes Janich
Agnes Janich,Address,http://www.sharjahart.org/people/people-by-alphabet/j/janich-agnes
Agnes Janich,Person,Agnes Janich
Agnes Janich,Date,2009
Agnes Janich,Organization,Sharjah Biennial
Agnes Janich,Date,2009
Agnes Janich,Person,Janich
Agnes Janich,Person,Janich
Agnes Janich,Location,Poland
Agnes Janich,Location,Rome
Agnes Janich,Date,2010
Agnes Janich,Organization,Koli Artist-in-Residence Centre
Agnes Janich,Organization,Koli
Agnes Janich,Location,Finland
Agnes Janich,Date,2010
Agnes Janich,Location,Singapore
Agnes Janich,Location,Indonesia
Agnes Janich,Location,Berlin
Agnes Janich,Location,London
Agnes Janich,Organization,Sharjah Biennial
Agnes Janich,Date,2009
Agnes Janich,Person,Art Space
Agnes Janich,Location,New York
Agnes Janich,Date,2009
Agnes Janich,Location,Paris
Agnes Janich,Location,Central European
Agnes Janich,Organization,House
Agnes Janich,Organization,Photography
Agnes Janich,Location,Bratislava
Agnes Janich,Date,2007
Agnes Janich,Person,Janich
Agnes Janich,Organization,European Academy of Photography
Agnes Janich,Location,Warsaw
Agnes Janich,Organization,Photography
Agnes Janich,Organization,School of Visual Arts
Agnes Janich,Location,New York
Agnes Janich,Date,2008
Agnes Janich,Location,USA
Agnes Janich,Location,Europe
Agnes Janich,Location,Spital
Agnes Janich,Location,Solothurn
Agnes Janich,Location,Switzerland
Agnes Janich,Date,2008
Agnes Janich,Location,Switzerland
Agnes Janich,Organization,Virginia Centre
Agnes Janich,Organization,Arts
Agnes Janich,Location,USA
Agnes Janich,Date,2007
Agnes Janich,Date,2008
Agnes Janich,Person,Grant
Agnes Janich,Organization,Can Serrat International
